OTU_ID	F10p515F2F4F6	D5p515F2F4F6	E6p515F1F3F5	H8p515F2F4F6	C1p515F2F4F6	F8p515F1F3F5	A4p515F2F4F6	A8p515F1F3F5	A11p515F2F4F6	A5p515F2F4F6	C4p515F2F4F6	B12p515F2F4F6	F10p515F1F3F5	F11p515F1F3F5	G9p515F1F3F5	E3p515F1F3F5	E7p515F1F3F5	H2p515F2F4F6	E4p515F2F4F6	F6p515F1F3F5	C11p515F1F3F5	F12p515F1F3F5	B8p515F2F4F6	F12p515F2F4F6	G7p515F2F4F6	E3p515F2F4F6	C5p515F2F4F6	E2p515F2F4F6	D2p515F1F3F5	G3p515F1F3F5
Otu643	7	0	18	11	1	0	1	0	6	0	1	7	1	0	4	4	2	16	1	12	0	0	0	5	0	2	0	8	19	40
Otu8126	0	0	0	0	0	1	3	21	0	0	0	0	2	2	1	3	0	0	4	0	5	4	0	1	1	1	8	3	0	0
Otu1154	1	0	0	0	0	0	11	1	0	0	0	1	1	0	1	0	14	0	4	1	0	0	13	2	0	10	0	0	0	0
Otu429	51	5	5	4	1	2	18	1	0	1	0	28	1	4	2	5	30	6	13	8	0	5	6	9	1	1	0	6	59	15
Otu205	16	2	0	0	0	121	206	34	0	1	0	0	1	54	10	0	8	0	7	0	0	101	6	0	30	6	1	0	0	0
Otu272	8	0	440	2	0	56	3	63	3	5	0	40	32	12	0	33	1	8	123	338	213	20	8	23	23	14	49	42	0	3
Otu53	75	287	377	45	111	230	348	64	113	47	128	73	90	154	255	385	76	262	130	230	101	14	61	286	113	148	62	74	7	81
Otu637	1	0	0	0	0	25	0	14	0	0	0	17	14	5	0	8	0	6	5	0	7	31	1	7	4	6	5	0	0	0
Otu7694	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu239	66	13	10	25	1	23	22	30	4	12	0	57	11	21	18	21	113	4	14	12	27	6	10	145	21	3	18	2	34	29
Otu546	15	12	0	0	3	6	5	2	4	5	2	1	8	4	0	0	2	3	0	1	2	7	1	11	11	3	1	2	17	1
Otu2436	2	0	0	0	0	3	0	0	1	0	0	1	0	1	0	0	7	0	0	0	0	2	0	6	0	0	0	0	0	0
Otu1652	0	0	0	0	0	0	1	23	0	0	0	1	0	0	0	0	0	1	0	0	0	1	53	0	0	3	3	1	0	0
Otu235	3	1	1	0	0	3	63	190	0	221	2	6	9	175	0	0	11	0	0	0	9	23	21	37	22	1	22	0	0	0
Otu66	146	143	35	12	6	43	10	42	34	57	43	94	28	25	125	37	39	150	159	35	96	120	240	94	80	481	112	41	68	54
Otu81	30	13	9	27	30	4	8	8	1	2	3	804	5	17	13	306	0	176	3	6	0	17	26	661	29	6	5	118	52	115
Otu837	5	1	1	6	0	0	2	8	0	0	1	1	5	6	11	1	19	1	1	0	10	4	0	2	0	0	0	0	0	1
Otu307	29	10	10	13	4	31	20	11	1	6	1	9	6	22	7	6	20	14	4	10	3	17	5	11	7	13	3	11	9	24
Otu165	16	32	31	32	0	4	62	10	0	24	3	294	29	3	1	10	7	0	8	19	45	3	8	55	1	1	7	4	0	148
Otu285	11	1	37	44	0	34	8	2	0	2	2	12	9	23	8	11	59	0	2	24	1	11	1	25	4	7	0	0	15	75
Otu2811	0	0	1	0	0	0	0	4	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
Otu1208	0	2	1	0	0	0	0	0	0	0	2	1	0	4	2	0	1	1	0	1	1	1	1	1	0	2	2	0	4	1
Otu8426	3	0	5	0	1	14	6	34	5	4	0	6	41	16	7	10	1	6	10	5	34	8	4	8	1	5	11	2	0	2
Otu84	8	29	5	2	25	17	49	81	15	157	6	48	113	4	9	11	320	39	56	5	244	7	49	89	100	20	188	44	2	3
Otu4567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu273	11	63	35	11	12	26	44	7	21	13	22	14	8	5	40	2	13	36	4	24	3	3	25	18	22	19	6	9	2	3
Otu513	4	2	7	0	0	1	10	1	0	1	3	6	1	0	1	1	2	3	2	2	0	3	0	5	2	3	7	1	0	6
