Otu47	d:Fungi(1.0000),p:Ascomycota(0.9900),c:Leotiomycetes(0.9900),o:Helotiales(0.9900),f:Helotiaceae(0.9900),g:Articulospora(0.9900),s:Articulospora_proliferata_SH083259.07FU(0.0300)	+	d:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Helotiaceae,g:Articulospora
Otu48	d:Fungi(1.0000),p:Basidiomycota(0.0900),c:Agaricomycetes(0.0900),o:Agaricales(0.0500),f:Tricholomataceae(0.0500),g:Arrhenia(0.0400),s:Arrhenia_auriscalpium_SH104559.07FU(0.0300)	+	d:Fungi
Otu62	d:Plantae(1.0000)	+	d:Plantae
Otu61	d:Fungi(1.0000),p:Basidiomycota(1.0000),c:Agaricomycetes(1.0000),o:Cantharellales(1.0000),f:Ceratobasidiaceae(1.0000)	+	d:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,f:Ceratobasidiaceae
Otu59	d:Fungi(1.0000),p:Olpidiomycota(0.2700),c:Olpidiomycetes(0.2700),o:Olpidiales(0.2700),f:Olpidiaceae(0.2500),g:Olpidium(0.2500),s:Olpidium_brassicae_SH194417.07FU(0.2500)	+	d:Fungi
Otu60	d:Fungi(1.0000),p:Ascomycota(0.0400),c:Dothideomycetes(0.0400),o:Pleosporales(0.0400),f:Phaeosphaeriaceae(0.0400)	+	d:Fungi
Otu64	d:Fungi(1.0000),p:Ascomycota(0.9900),c:Dothideomycetes(0.9700),o:Pleosporales(0.9700),f:Phaeosphaeriaceae(0.9500),g:Septoriella(0.7700),s:Septoriella_phragmitis_SH238525.07FU(0.7100)	+	d:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Phaeosphaeriaceae
Otu55	d:Fungi(1.0000),p:Basidiomycota(1.0000),c:Tremellomycetes(1.0000),o:Cystofilobasidiales(1.0000),f:Mrakiaceae(1.0000),g:Itersonilia(1.0000),s:Itersonilia_perplexans_SH199072.07FU(0.8300)	+	d:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Cystofilobasidiales,f:Mrakiaceae,g:Itersonilia,s:Itersonilia_perplexans_SH199072.07FU
Otu58	d:Fungi(1.0000),p:Ascomycota(0.9900),c:Dothideomycetes(0.9500),o:Symbiotaphrinales(0.0100),f:Symbiotaphrinaceae(0.0100),g:Symbiotaphrina(0.0100),s:Symbiotaphrina_kochii_SH021199.07FU(0.0100)	+	d:Fungi,p:Ascomycota,c:Dothideomycetes
Otu63	d:Fungi(1.0000),p:Basidiomycota(1.0000),c:Agaricomycetes(1.0000),o:Cantharellales(1.0000),f:Ceratobasidiaceae(1.0000)	+	d:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,f:Ceratobasidiaceae
Otu67	d:Fungi(1.0000),p:Ascomycota(0.8300),c:Dothideomycetes(0.8200),o:Pleosporales(0.8200),f:Phaeosphaeriaceae(0.6100),g:Leptosphaeria(0.1700),s:Leptosphaeria_avenaria_SH183009.07FU(0.1700)	+	d:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
Otu68	d:Fungi(1.0000),p:Ascomycota(0.9000),c:Sordariomycetes(0.5600),o:Hypocreales(0.5600)	+	d:Fungi,p:Ascomycota
Otu69	d:Fungi(1.0000),p:Ascomycota(1.0000),c:Dothideomycetes(1.0000),o:Pleosporales(1.0000),f:Phaeosphaeriaceae(0.4000),g:Paraphoma(0.4000),s:Paraphoma_chrysanthemicola_SH208737.07FU(0.1100)	+	d:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
Otu70	d:Fungi(1.0000),p:Ascomycota(0.9900),c:Leotiomycetes(0.9900),o:Helotiales(0.9900),f:Helotiaceae(0.9900),g:Articulospora(0.9900),s:Articulospora_proliferata_SH083259.07FU(0.0800)	+	d:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Helotiaceae,g:Articulospora
Otu71	d:Fungi(1.0000),p:Ascomycota(1.0000),c:Leotiomycetes(0.7200),o:Thelebolales(0.7200),f:Thelebolaceae(0.7200)	+	d:Fungi,p:Ascomycota
Otu75	d:Fungi(1.0000),p:Basidiomycota(1.0000),c:Agaricomycetes(1.0000),o:Cantharellales(1.0000),f:Ceratobasidiaceae(1.0000),g:Thanatephorus(0.2100),s:Thanatephorus_cucumeris_SH218697.07FU(0.0600)	+	d:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,f:Ceratobasidiaceae
Otu66	d:Fungi(1.0000),p:Ascomycota(0.9900),c:Leotiomycetes(0.9900),o:Helotiales(0.9900),f:Hyaloscyphaceae(0.8300),g:Trichopeziza(0.7100),s:Trichopeziza_mollissima_SH196494.07FU(0.7100)	+	d:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Hyaloscyphaceae
Otu76	d:Fungi(1.0000),p:Ascomycota(0.9800),c:Dothideomycetes(0.9800),o:Pleosporales(0.9600),f:Coniothyriaceae(0.0500),g:Hazslinszkyomyces(0.0500),s:Hazslinszkyomyces_aloes_SH022621.07FU(0.0500)	+	d:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
Otu77	d:Fungi(1.0000),p:Ascomycota(1.0000),c:Leotiomycetes(1.0000),o:Helotiales(1.0000),f:Helotiaceae(0.9900),g:Articulospora(0.9900),s:Articulospora_proliferata_SH083259.07FU(0.0200)	+	d:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Helotiaceae,g:Articulospora
Otu74	d:Fungi(1.0000),p:Basidiomycota(1.0000),c:Agaricomycetes(1.0000),o:Cantharellales(1.0000),f:Ceratobasidiaceae(0.9900),g:Ceratobasidium(0.7300),s:Thanatephorus_cucumeris_SH220622.07FU(0.2000)	+	d:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,f:Ceratobasidiaceae
Otu80	d:Fungi(1.0000),p:Basidiomycota(1.0000),c:Agaricomycetes(1.0000),o:Cantharellales(1.0000),f:Ceratobasidiaceae(0.9900),g:Thanatephorus(0.5700),s:Thanatephorus_cucumeris_SH220622.07FU(0.5700)	+	d:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,f:Ceratobasidiaceae
Otu78	d:Fungi(1.0000),p:Ascomycota(0.9700),c:Leotiomycetes(0.2300),o:Helotiales(0.1800),f:Helotiaceae(0.1600),g:Articulospora(0.1600),s:Calloria_urticae_SH529064.07FU(0.0100)	+	d:Fungi,p:Ascomycota
Otu73	d:Fungi(1.0000),p:Ascomycota(0.9700),c:Leotiomycetes(0.2300),o:Helotiales(0.1800),f:Helotiaceae(0.1600),g:Articulospora(0.1600),s:Calloria_urticae_SH529064.07FU(0.0100)	+	d:Fungi,p:Ascomycota
Otu79	d:Fungi(1.0000),p:Ascomycota(0.8200),c:Leotiomycetes(0.7900),o:Helotiales(0.7900),f:Dermateaceae(0.6500),g:Calloria(0.6500),s:Calloria_urticae_SH529064.07FU(0.6500)	+	d:Fungi,p:Ascomycota
