#metadata_combined_16S_2017_2018_harvest_years								
Sample	Primer	Frameshift	Experiment	Plate pos	Code	Site	Genotype	Harvest_Year
RM81L1S114	515	F2F4F6	CRISPR	18	1_18	GH_Tue	HIF:Est-1-Est-1:acd6-null	2017
RM81L1S115	515	F2F4F6	CRISPR	19	8_33	GH_Tue	HIF:Est-1-Est-1:acd6-null	2017
RM81L1S116	515	F2F4F6	CRISPR	20	3_15	GH_Tue	HIF:Est-1-1	2017
RM81L1S117	515	F2F4F6	CRISPR	21	2_24	GH_Tue	HIF:Est-1-Est-1:acd6-null	2017
RM81L1S118	515	F2F4F6	CRISPR	22	1_21	GH_Tue	HIF:Est-1-1	2017
RM81L1S119	515	F2F4F6	CRISPR	23	8_40	GH_Tue	HIF:Est-1-Est-1:acd6-null	2017
RM81L1S120	515	F2F4F6	CRISPR	24	4_05	GH_Tue	HIF:Est-1-Est-1:acd6-null	2017
RM81L1S13	515	F1F3F5	HIF	13	27_40	F_Tue	likeHIF:Est-1	2017
RM81L1S14	515	F1F3F5	HIF	14	27_01	F_Tue	likeHIF:Col-0	2017
RM81L1S16	515	F1F3F5	HIF	16	25_30	F_Tue	likeHIF:Col-0	2017
RM81L1S17	515	F1F3F5	HIF	17	27_37	F_Tue	likeHIF:Est-1	2017
RM81L1S18	515	F1F3F5	HIF	18	25_07	F_Tue	likeHIF:Est-1	2017
RM81L1S2	515	F1F3F5	HIF	2	25_10	F_Tue	likeHIF:Est-1	2017
RM81L1S20	515	F1F3F5	HIF	20	27_02	F_Tue	likeHIF:Col-0	2017
RM81L1S21	515	F1F3F5	HIF	21	27_34	F_Tue	likeHIF:Est-1	2017
RM81L1S22	515	F1F3F5	HIF	22	27_08	F_Tue	likeHIF:Col-0	2017
RM81L1S23	515	F1F3F5	HIF	23	27_05	F_Tue	likeHIF:Est-1	2017
RM81L1S26	515	F1F3F5	HIF	26	27_32	F_Tue	likeHIF:Col-0	2017
RM81L1S28	515	F1F3F5	HIF	28	27_25	F_Tue	likeHIF:Col-0	2017
RM81L1S29	515	F1F3F5	HIF	29	25_36	F_Tue	likeHIF:Col-0	2017
RM81L1S32	515	F1F3F5	HIF	32	25_05	F_Tue	likeHIF:Col-0	2017
RM81L1S33	515	F1F3F5	HIF	33	25_31	F_Tue	likeHIF:Est-1	2017
RM81L1S36	515	F1F3F5	HIF	36	27_28	F_Tue	likeHIF:Col-0	2017
RM81L1S37	515	F1F3F5	HIF	37	25_27	F_Tue	likeHIF:Est-1	2017
RM81L1S38	515	F1F3F5	HIF	38	25_18	F_Tue	likeHIF:Col-0	2017
RM81L1S39	515	F1F3F5	HIF	39	25_17	F_Tue	likeHIF:Col-0	2017
RM81L1S41	515	F1F3F5	HIF	41	10_04	GH_Tue	likeHIF:Col-0	2017
RM81L1S42	515	F1F3F5	HIF	42	10_31	GH_Tue	likeHIF:Col-0	2017
RM81L1S43	515	F1F3F5	HIF	43	10_30	GH_Tue	likeHIF:Col-0	2017
RM81L1S44	515	F1F3F5	HIF	44	10_22	GH_Tue	likeHIF:Est-1	2017
RM81L1S46	515	F1F3F5	HIF	46	10_14	GH_Tue	likeHIF:Col-0	2017
RM81L1S47	515	F1F3F5	HIF	47	10_20	GH_Tue	likeHIF:Est-1	2017
RM81L1S49	515	F1F3F5	HIF	49	10_06	GH_Tue	likeHIF:Est-1	2017
RM81L1S5	515	F1F3F5	HIF	5	25_28	F_Tue	likeHIF:Est-1	2017
RM81L1S50	515	F1F3F5	HIF	50	10_08	GH_Tue	likeHIF:Col-0	2017
