CORNER	RM109S73	RM109S169	RM109S81	RM109S177	RM109S1	RM109S9	RM109S105	RM109S113	RM109S121	RM109S33	RM109S129	RM109S41	RM109S137	RM109S49	RM109S145	RM109S57	RM109S65	RM109S161	RM109S170	RM109S82	RM109S178	RM109S98	RM109S106	RM109S26	RM109S122	RM109S34	RM109S130	RM109S42	RM109S138	RM109S146	RM109S154	RM109S162	RM109S91	RM109S11	RM109S27	RM109S35	RM109S59	RM109S67	RM109S4	RM109S12	RM109S36	RM109S44	RM109S60	RM109S77	RM109S85	RM109S5	RM109S29	RM109S61	RM109S69	RM109S78	RM109S6	RM109S14	RM109S22	RM109S54	RM109S62	RM109S79	RM109S186	RM109S87	RM109S15	RM109S39	RM109S8	RM109S16	RM109S32	RM109S48
Otu56	89	50	109	0	0	34	74	2	3477	118	279	43	21	2394	30	34	103	10	0	91	70	0	94	243	8	382	2	335	7	9	90	340	212	8	20	30	891	67	1162	52	3	1	1567	8	186	11	3160	1	1	0	27	0	21	27	2	0	0	875	31	19	228	0	50	0
Otu77	37	4	201	0	32	1313	275	12	0	17	32	40	10	38	40	9	406	69	0	6	7	7	419	37	10	4124	2	17	1	53	19	7	0	0	4	3	23	12	180	26	41	15	5	58	71	9	338	32	0	11	5	6	95	329	8	0	0	0	148	6	0	0	0	11
Otu30	1574	1	182	0	74	111	0	0	16	39	0	24	0	77	10	24	145	0	0	25	0	0	0	2956	0	180	0	19	0	0	1	1994	54	71	2	40	168	136	2365	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	633	0	2361	0	0	416	45	0	0
Otu26	48	67	191	4	179	892	46	84	12	285	30	604	46	1607	101	1405	2906	4	237	318	0	0	926	2500	109	213	2486	5104	134	449	88	34	506	404	599	93	1387	5038	289	695	34	103	1150	131	42	39	152	158	212	51	110	31	26	90	18	10	50	33	254	271	178	190	18	666
Otu11	84	166	220	16	19	48	47	73	1	27	0	1594	1506	230	20	134	0	9217	58	58	4	16	0	110	2	63	0	1635	715	12	74	121	863	2	15	10	216	31	30	25	62	9	6	8	1690	11367	38	2	0	1	1071	10	32	40014	43	1	0	0	131	206	192	57	149	3
Otu131	182	0	3	0	71	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	42	0	0	0	1	0	0	0	0	0	0	0	3	1	0	12	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	38	0	0	0	0	0	0	1	0
Otu441	18	0	13	0	72	0	0	0	0	132	0	5	0	3	0	21	3	0	0	3	0	0	0	8	0	6	0	0	0	0	0	0	0	8	150	112	4	6	27	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	9	0
Otu690	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu62	816	0	11	0	27	138	0	0	0	86	0	2	0	584	0	17	61	0	0	81	0	0	0	213	1	1833	0	0	0	1	0	22	60	0	99	4	30	22	34	46	0	12	0	0	0	0	0	0	0	0	0	0	0	1	140	115	0	0	0	0	76	0	0	24
Otu178	101	0	0	0	18	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	177	0	4	1	0	2	0	0	0	0	0	0	0	0	0	0	0	430	0	0	0	5	1	0	0	0	0	0	0	1345	0
Otu46	478	1	347	1	233	6	0	0	1	237	0	137	0	248	0	595	754	0	13	2	5	0	0	423	0	751	0	9	0	0	0	0	709	69	529	103	39	128	283	64	0	0	1	0	0	0	0	1	1	1	1	0	0	0	1	294	0	21	0	0	67	154	3259	0
Otu18	374	0	232	0	824	0	0	0	0	364	0	413	0	45	0	96	126	0	0	131	0	0	0	2057	1	3600	0	33	0	0	0	4	143	3	86	404	465	282	326	353	0	0	0	0	0	1	0	0	1	0	16	0	0	0	0	41	0	1	0	0	358	1092	908	0
Otu67	157	0	0	0	0	13	0	11	0	5	0	222	0	14	0	9	1	0	0	44	0	11	0	8	0	513	0	0	0	0	0	39	21	137	0	0	0	131	27	68	0	55	0	0	128	0	0	7	0	0	0	0	0	0	0	27	0	0	36	0	1	331	0	0
Otu137	351	0	57	0	62	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	755	0	0	0	0	0	0	0	0	0	0	2	1	92	63	0	0	1	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	627	498	0
Otu277	6	0	35	0	0	67	0	0	0	2	0	6	0	8	0	2	30	0	4	9	0	0	0	34	1	14	0	0	3	13	4	0	0	5	0	0	5	7	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	83	0	0	0	13	0	0
Otu141	14	0	0	0	55	0	0	0	0	8	0	0	0	51	0	1	9	0	0	3	0	0	0	27	0	43	0	10	0	0	0	0	95	57	0	0	269	165	23	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0
Otu230	9	0	19	0	0	0	0	0	0	106	0	0	0	4	0	0	0	0	0	8	0	0	0	14	0	1	0	0	0	0	0	0	0	0	0	1	4	0	0	0	2	4	23	4	0	0	6	22	4	0	5	0	7	31	0	0	0	0	0	0	0	0	0	1
Otu924	65	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu184	20	0	163	0	69	50	0	0	0	15	0	2	0	0	0	3	176	0	0	9	0	0	0	29	0	0	0	194	0	0	0	0	12	407	103	41	43	81	51	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	417	354	2	0
Otu3	210	0	5	0	0	147	0	1	0	1	1806	1	0	20	0	1	15	0	0	1	0	0	0	0	1	0	1	1	0	0	5216	498	4	1833	5	10093	2781	9390	588	1	0	3	0	2	5712	1	0	1	0	61	1	0	13	7218	3521	0	0	0	166	1	398	0	0	1076
Otu366	24	0	18	0	0	2	0	0	0	69	0	10	0	1	0	14	56	0	0	101	0	0	0	185	0	9	0	6	0	0	0	0	15	27	1	23	26	6	32	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	8	0	0	0
Otu69	111	1634	42	110	8	61	11	0	2570	38	264	0	1	647	2	7	2	0	4	17	1	0	177	103	3	34	5	364	0	8	111	1457	72	0	22	13	65	0	29	27	0	0	34	1	443	14	5	103	0	0	157	0	64	0	6	27	0	129	49	15	39	0	18	8
Otu1250	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Otu27	189	118	814	43	135	55	7587	0	188	226	13	843	8	107	22	937	482	0	0	43	0	0	0	9993	1	208	2	11959	54	0	6	61	211	81	5	250	201	174	38	73	91	2	1	36	0	1	234	2	1	1	0	0	10	99	297	1171	0	1	0	0	160	4294	286	17
Otu748	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu1428	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Otu95	16	0	5	0	0	366	0	0	0	2	0	268	0	54	0	935	20	0	0	42	0	0	0	12	0	114	0	106	0	0	0	0	65	0	232	900	0	0	7	5	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	23	0	0	0	0	17	0	1654	0
Otu51	183	0	831	2	8	83	13	0	9	395	1	212	0	9	0	1347	678	1	9	188	0	0	0	1669	0	3865	1	446	0	0	0	3	719	120	72	128	16	1049	162	637	0	1	4	0	1	1	0	0	0	0	0	0	0	1	0	701	0	13	0	0	4	0	360	0
Otu63	233	12	11	0	0	1	0	0	0	3	5	0	9	0	0	2	0	0	4	19	0	0	11664	258	1	5	0	0	0	0	0	46	29	28	3	216	55	73	317	0	1	0	0	0	1748	0	0	1	0	0	0	0	0	0	1102	297	0	434	0	2	19	0	0	0
Otu814	10	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	31	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu802	117	0	1	0	8	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	26	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Otu228	81	0	45	0	34	67	0	0	0	0	0	9	0	1	0	11	68	0	0	22	0	0	0	29	0	1	0	176	0	0	0	0	74	8	0	36	26	90	47	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	52	0	238	0
Otu514	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu108	40	0	98	0	0	6	0	0	0	85	0	41	0	163	0	1	12	0	0	37	0	16	0	110	2	2	0	13	0	0	2	0	88	8	74	39	10	20	48	42	0	0	0	2	0	0	0	0	0	0	30	0	0	8	22	0	0	0	10	0	0	0	0	0
Otu180	63	0	0	0	0	34	0	0	0	10	0	0	0	11	0	63	18	0	0	6	0	0	0	25	0	5	0	0	0	0	0	0	44	75	18	14	1	0	15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	8	0	30	0
Otu73	35	0	13	0	0	0	0	0	0	0	0	0	0	89	0	2	0	0	0	6	0	0	0	1414	0	5	0	0	0	0	0	0	1	0	0	812	25	0	47	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	4	0	0	0
Otu408	48	0	1	15	8	12	0	7	15	0	0	3	0	10	4	3	33	0	47	23	0	0	0	13	0	157	4	17	19	58	6	18	14	0	11	0	0	3	21	12	0	0	0	20	0	0	66	0	13	0	0	14	0	2	0	1	15	0	0	0	0	12	6	0
Otu106	11	0	23	0	20	302	0	0	0	15	0	11	0	16	0	133	154	0	0	304	0	0	0	25	0	4	0	28	0	0	0	0	34	35	131	0	9	5	3	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	35	0	0	1	0	18	0
Otu105	324	0	66	0	71	320	53	0	0	18	0	35	0	75	0	75	910	0	0	6	0	0	0	65	0	183	1	112	0	0	1	4	1006	1713	67	38	34	6	80	24	0	21	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	162	0	0	39	0	0	0
Otu239	5	0	34	0	11	78	0	0	0	0	0	0	0	5	0	8	21	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	1	25	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
Otu362	61	2	7	287	0	5	0	0	1	2	0	0	0	4	0	39	0	0	7	0	0	0	438	0	0	0	0	125	5	4	3	8	26	0	0	0	75	2	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	56	0	0	0	0	0	0	0
Otu271	109	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	7	0	0	0	303	0	0	0	0	1	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0
Otu132	9	0	313	0	157	0	0	0	0	0	0	16	0	0	0	0	0	0	0	602	1	0	0	24	0	166	0	8	0	0	1	0	23	282	0	0	0	5	19	35	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu720	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu485	8	0	24	0	1	0	0	0	0	0	0	3	0	0	0	6	6	0	0	0	0	0	0	7	0	4	0	0	0	0	0	0	0	0	0	2	7	3	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0
Otu176	148	0	0	0	24	0	14	0	245	0	0	6	0	0	0	0	0	0	29	4	0	0	0	8	0	16	0	47	0	0	0	32	45	1	0	0	12	504	2	3	41	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	2	1	1806	0	0
Otu134	75	1	70	0	0	0	0	0	0	0	0	0	0	0	0	4	8	0	829	10	0	0	6	111	0	8	0	0	0	0	0	129	0	1	6	126	1	1	17	1	0	0	0	0	4	1	2	0	0	0	0	0	0	0	13	0	0	1679	0	0	16	0	0	0
Otu307	54	0	22	2	8	11	0	2	0	89	1	69	0	38	0	52	22	1	9	30	0	0	0	87	0	43	0	2	0	1	0	5	17	26	22	15	70	19	32	16	2	0	0	4	0	0	2	1	1	0	2	2	0	2	53	26	0	16	1	0	15	5	5	0
Otu183	228	0	5	0	66	0	0	6	0	12	0	31	0	4	0	16	0	0	0	32	0	0	0	0	0	30	0	18	0	0	0	9	40	0	17	2	81	7	10	889	0	27	0	2	0	10	0	0	0	0	0	0	0	3	513	0	0	0	0	0	197	120	13	0
