OTU_ID	R211L5S10	R211L5S11	R211L5S12	R211L5S14	R211L5S15	R211L5S17	R211L5S1	R211L5S21	R211L5S22	R211L5S23	R211L5S26	R211L5S27	R211L5S29	R211L5S30	R211L5S33	R211L5S34	R211L5S35	R211L5S36	R211L5S37	R211L5S38	R211L5S39	R211L5S41	R211L5S42	R211L5S43	R211L5S46	R211L5S50	R211L5S53	R211L5S58	R211L5S5	R211L5S61	R211L5S66	R211L5S68	R211L5S69	R211L5S6	R211L5S70	R211L5S73	R211L5S74	R211L5S75	R211L5S78
Zotu708	3	0	0	0	3	3	8	2	1	1	3	6	3	8	11	6	0	0	0	1	0	0	0	0	0	4	0	0	0	28	1	0	7	16	4	16	0	0	0
Zotu88	4	26	51	32	28	24	821	95	65	1	11	46	100	25	234	70	11	26	16	104	45	28	68	46	31	78	95	55	35	53	106	23	234	33	60	32	1	29	82
Zotu868	2	2	0	0	0	1	19	0	12	0	0	1	1	0	9	0	0	2	0	1	2	1	0	1	2	5	0	0	0	0	4	9	0	5	0	16	8	0	1
Zotu709	2	0	0	0	0	8	1	10	0	2	0	0	2	18	7	4	0	0	12	4	0	0	10	1	13	0	0	0	0	5	0	0	21	0	5	1	0	0	2
Zotu317	1	5	2	8	9	0	86	19	8	15	4	5	35	23	19	6	0	6	11	22	7	2	3	1	17	23	46	0	4	44	5	9	50	12	11	34	2	0	5
Zotu1881	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Zotu2005	3	0	0	3	0	0	11	2	4	0	0	6	10	2	5	0	0	0	2	0	0	0	1	0	6	3	2	0	12	7	0	6	19	3	1	17	0	0	0
Zotu2286	5	0	0	0	0	0	4	0	0	0	0	0	0	0	2	2	0	0	0	6	0	0	1	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0
Zotu1182	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	41	59	0	0	0
Zotu4737	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
Zotu1132	1	0	0	6	1	0	22	1	3	0	0	0	0	0	2	0	0	0	0	1	5	0	0	4	2	3	6	3	9	2	2	1	1	0	0	0	0	1	5
Zotu1716	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	0	0	0	2	0	0	0	0	3	0	3	0	0	0	0	0	0	0
Zotu583	2	1	3	3	0	0	0	3	11	2	5	6	15	1	12	1	0	0	16	5	0	15	1	0	3	5	1	0	0	29	0	1	1	3	5	12	0	0	1
Zotu653	2	4	0	0	0	1	20	1	0	0	4	11	0	0	3	4	0	0	7	0	0	4	0	3	0	2	0	0	1	0	0	6	0	2	3	5	0	0	1
Zotu2329	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	22	0	0	0
Zotu323	1	3	18	9	1	7	73	10	19	2	1	9	34	11	16	20	0	0	6	5	25	16	23	3	6	23	1	0	2	5	1	13	7	7	4	27	27	1	2
Zotu1853	3	0	1	1	0	0	8	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	4	6	0	4	5	0	0	2	0	0	1	0	0	0
Zotu1154	2	1	0	0	0	0	3	0	0	0	1	1	0	1	8	0	0	0	0	5	1	4	4	0	3	3	0	0	0	0	1	0	0	1	0	10	0	6	0
Zotu3343	1	0	0	2	0	0	0	2	5	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
Zotu1693	3	4	0	0	0	0	0	4	0	3	0	0	1	2	4	0	0	5	0	0	6	0	2	0	0	0	1	3	0	0	0	0	0	6	1	0	0	0	0
