#RNA counts for selected genes
samples	environment	genotype	environmentGenotype	PR1	PDF1.2	ACD6	UBQ10	AOC1	AOC2	DTX18	EDS1	NPR1	NPR3	NPR4	PAD3	PDF1.3	PR5	SIB1	UGT71B5
R82L1S82	GH-Tue	HIF:Est-1	GH-Tue_HIF:Est-1	1319.566881	1344.870082	1113.840854	3902.693684	673.7851804	2941.172038	64.30807265	42.30528898	107.2135008	62.10779428	58.80737673	278.8352135	408.6516371	375.6474616	121.5153102	20.3025053
R82L1S83	F-Tue	HIF:Est-1	F-Tue_HIF:Est-1	9.818044435	30.1483232	795.0750619	3301.629015	285.9709977	810.3227709	33.536703	34.38379795	102.1513938	40.31346259	40.31346259	19.13608887	0.5	208.0382624	30.1483232	4.735474743
R82L1S84	F-Tue	HIF:Col-0	F-Tue_HIF:Col-0	19.2427908	9.871395402	293.3561063	2582.319433	22.75706408	32.12845948	5.185697701	33.29988391	60.24264569	29.78561063	36.81415718	0.5	1.671424425	47.35697701	7.528546552	0.5
R82L1S85	F-Tue	HIF:Col-0	F-Tue_HIF:Col-0	2.890614686	25.6014542	485.7947812	2779.589572	27.99206888	44.72637168	17.2343028	25.6014542	82.97620665	31.57799091	38.74983497	1.695307343	5.281229371	48.31229371	6.476536714	0.5
R82L1S86	GH-Tue	Est-1:acd6-null	GH-Tue_Est-1:acd6-null	21.81095354	6.46706699	314.1972361	2538.208347	107.9072058	431.8336996	0.5	28.63045867	67.84261318	35.4499638	34.59752566	3.909752566	1.352438141	217.0192879	12.43413398	0.5
R82L1S87	GH-Tue	HIF:Col-0	GH-Tue_HIF:Col-0	707.2410606	1.152577157	1234.523403	3066.960059	68.36802428	443.5998893	3.762885783	161.6865577	124.4896597	54.01132684	76.19895016	57.27421262	0.5	1173.18115	136.2360486	1.152577157
R82L1S88	GH-Tue	HIF:Est-1	GH-Tue_HIF:Est-1	635.8785077	176.9528411	898.3335739	2699.931909	294.8352013	1249.015061	3.465593968	48.69090198	77.60544317	53.88069143	45.72530801	19.77636079	35.34572913	198.4533974	99.84739793	7.91398492
R82L1S89	F-Tue	HIF:Col-0	F-Tue_HIF:Col-0	0.5	94.59860205	803.6514485	3498.052265	29.65731331	70.74261843	45.56130239	41.58530512	99.89993174	52.18796451	52.18796451	1.825332423	5.801329693	87.97193993	34.958643	0.5
R82L1S90	F-Tue	HIF:Est-1	F-Tue_HIF:Est-1	256.2859177	21.72241239	1215.762351	3553.578621	35.12604126	50.76360829	92.09146399	93.20843306	122.249629	73.10298975	52.99754643	410.4276498	0.5	360.1640415	82.03874233	4.967876292
R82L1S91	GH-Tue	HIF:Est-1	GH-Tue_HIF:Est-1	529.2320087	1668.400617	1038.24222	3608.649871	223.0745756	968.7463606	100.9872557	54.03059414	98.16985597	47.45666152	57.78712706	65.3001929	282.2399691	321.6835648	113.1959877	28.67399691
R82L1S92	GH-Tue	HIF:Col-0	GH-Tue_HIF:Col-0	135.0597741	5.10821144	1215.224536	2710.128327	80.68287906	537.817454	5.10821144	53.03361042	83.44780593	26.30598407	58.56346415	3.264926864	2.343284576	251.1867024	80.68287906	1.421642288
R82L1S93	F-Tue	HIF:Col-0	F-Tue_HIF:Col-0	0.5	12.63831306	87.895854	2246.087915	118.2416366	251.7630803	19.92130089	12.63831306	67.26072181	21.1351322	33.27344525	1.713831306	5.355325222	17.49363828	2.927662611	0.5
R82L1S95	GH-Tue	Est-1:acd6-null	GH-Tue_Est-1:acd6-null	7.671648591	59.92223118	306.831847	3352.733456	126.516111	509.68705	2.549042455	29.18659436	69.14292223	45.578934	40.45632786	0.5	2.549042455	237.1644035	19.96590332	5.622606136
R82L1S96	F-Tue	HIF:Col-0	F-Tue_HIF:Col-0	249.0028063	10.28950449	806.2515235	2856.023156	18.57293137	41.16409558	13.30165972	90.11161803	137.5530629	51.70663887	55.47183291	18.57293137	1.253038807	336.3553079	55.47183291	0.5
R211L5S1	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	0.5	0.5	79.90558841	3565.607316	73.79746623	149.1309732	0.5	26.96852947	67.68934404	12.71624437	8.644162914	0.5	0.5	167.4553397	22.89644801	0.5
R211L5S5	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	2.012976441	7.157096343	83.41110899	2295.987857	59.20348593	94.00194408	0.5	12.30121624	64.04501054	8.972668072	15.02457384	0.8025952883	3.223357595	177.2156484	8.367477496	0.8025952883
