CORNER	D1AgITS1F1F3F5_WILD	H12AgITS1F2F4F6_WILD	E8AgITS1F1F3F5_WILD	C5AgITS1F1F3F5_WILD	E2AgITS1F1F3F5_WILD	D7AgITS1F1F3F5_WILD	B6AgITS1F1F3F5_WILD	C3AgITS1F1F3F5_WILD	C10AgITS1F1F3F5_WILD	A9AgITS1F1F3F5_WILD	F8AgITS1F1F3F5_WILD	B11AgITS1F1F3F5_WILD	G2AgITS1F1F3F5_WILD	D9AgITS1F1F3F5_WILD	D3AgITS1F1F3F5_WILD	E10AgITS1F1F3F5_WILD	A7AgITS1F1F3F5_WILD	A1AgITS1F1F3F5_WILD	B8AgITS1F1F3F5_WILD	B4AgITS1F1F3F5_WILD	H5AgITS1F2F4F6_WILD	E4AgITS1F1F3F5_WILD	H3AgITS1F2F4F6_WILD	A3AgITS1F1F3F5_WILD	C8AgITS1F1F3F5_WILD	F12AgITS1F1F3F5_WILD	D11AgITS1F1F3F5_WILD	C6AgITS1F1F3F5_WILD	B2AgITS1F1F3F5_WILD	D5AgITS1F1F3F5_WILD
Otu2901	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu9	0	0	0	10	0	11	0	0	0	0	0	0	0	0	0	0	0	5462	0	0	0	0	8	0	0	0	0	0	0	0
Otu783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0
Otu2875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Otu816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	2	0	0	0	0	0	0
Otu2709	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	17	0	1	0	0	0	0	0	0	0	0	13	0
Otu967	29	0	0	7	0	0	0	18	112	0	0	2	0	2	18	0	0	14	0	0	0	0	0	0	0	0	0	0	0	1
Otu2877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
Otu1220	0	1	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	57	0	0	0	0	0	0	0	0	0	0	0	2
Otu620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	25	0	0	0	0	14	0
Otu616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	5	0	0	0	0
Otu1085	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	40	0	0	0	0	0	0	0	0	0	0	0	0
Otu285	0	1	0	0	0	2	82	0	0	10	0	0	0	0	0	0	3	24	0	7	0	0	0	2	0	1	1	2	13	6
Otu1940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
Otu2030	1	17	0	0	0	4	0	8	0	1	0	0	0	0	0	0	4	2	0	1	0	0	2	0	0	0	2	5	0	1
Otu507	35	1	0	4	0	25	0	36	22	0	0	4	0	27	0	0	0	9	67	0	38	0	1	0	0	0	0	0	8	0
Otu473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Otu1489	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	1	0
Otu324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	1	0
Otu61	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0
Otu491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0
Otu2423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
Otu1528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	36	0
Otu400	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	8	6	0	14	0	0	0	1	0	0	1	0	0	0
Otu222	0	0	6	0	0	0	0	0	0	0	0	0	377	0	0	0	0	3	0	0	0	0	0	2	0	228	0	0	45	0
Otu1279	0	0	1	1	0	0	4	1	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Otu2861	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	13	0
Otu2682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu1668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	1	0	0	0	0	0	0	1	0
Otu2216	0	3	0	0	0	41	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0	0	4	0	0	0	1	0	3	0
Otu478	10	0	0	10	0	2	0	4	1	0	4	1	0	0	0	0	0	5	0	0	88	1	0	0	0	0	0	0	0	1
Otu915	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	1	0
Otu754	20	0	0	24	0	0	5	164	70	16	0	0	0	0	0	0	90	1	0	1	0	0	0	3	0	0	0	0	1	0
Otu253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	900	0
Otu961	0	0	0	1	0	1	3	4	7	4	0	1	0	2	0	0	2	11	0	0	3	0	0	0	0	0	0	0	0	0
Otu2930	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
Otu1277	0	0	1	0	7	10	0	0	9	0	0	0	3	0	0	0	0	4	1	0	0	0	0	1	0	0	0	0	0	0
Otu1282	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	8	0	0	0	0	0	0
Otu1513	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4	0	0	0	0	2	0
Otu1404	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	7	0
Otu1813	0	0	1	1	0	0	2	1	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Otu2235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	34	0
Otu2492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
Otu1173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	2	0	0	0	0	5	0
Otu373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	3	0	0	0	0	0	0	0	0	276	0	60	0
Otu2066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	17	0
Otu999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
Otu1360	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	0
Otu1355	1	0	0	0	0	2	1	0	1	0	1	0	0	0	0	0	4	2	0	0	0	1	0	0	0	0	0	0	8	0
Otu638	0	0	0	0	5	0	0	1	3	0	5	2	1	11	0	0	0	3	0	0	32	0	0	0	0	0	0	0	0	0
Otu2880	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu1145	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu1828	0	0	0	1	0	0	0	0	0	0	0	4	0	1	0	0	1	4	2	0	0	0	0	0	0	0	0	0	0	0
Otu1318	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	42	0	0	0	0	0	0
Otu2114	0	1	0	0	0	1	0	0	0	9	0	0	0	0	0	0	43	4	0	3	0	0	2	0	0	0	0	1	3	0
Otu2036	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
Otu913	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Otu2055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Otu138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	2	6	0	0	0	0	0	0	0	0	1	0	0	0
Otu273	2	0	0	4	0	5	22	5	26	7	0	21	0	16	18	0	1	1	47	1	42	0	3	0	0	0	1	0	0	0
Otu821	0	1	0	0	0	6	0	0	0	2	1	0	0	0	0	0	1	1	0	0	0	3	0	0	0	0	0	0	3	0
Otu1583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	5	0
Otu1351	0	2	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	1	0
Otu617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	8	0
Otu2653	0	0	0	0	0	1	0	0	0	0	0	0	0	2	14	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0
Otu693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu1218	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Otu2770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Otu903	2	0	0	7	0	0	50	1	0	0	0	0	0	2	11	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0
